LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka
PVT1,Prostate Cancer,"qPCR, MSP-PCR, RNAi etc.",up-regulated,27794184,"Also Known As: LINC00079; MIR1204HG; NCRNA00079; onco-lncRNA-100

Some (older) PVT1 splice variant 1, 2, 3, 4, 5 and 6 lncRNA ""lncRNA"" ncRNA (complete sequence-MG562504.1, MG562505.1, MG562506.1, MG562507.1, MG562508.1 and MG562509.1 respectively; note=""alternatively spliced) with PQS-10, 8, 9, 8, 8, 7 (2G) respectively were also there in result.

Some (older, not checked for PQS) PVT1 lncRNA ""lncRNA"" ncRNA (partial sequence-KY887488.1) was also there in result.",1, PVT1,14,,,,REVIEWED,"Pvt1 oncogene;NCRNA00079;LINC00079;onco-lncRNA-100;MIR1204HG;non-protein coding RNA 79;long intergenic non-protein coding RNA 79;MIR1204, MIR1205, MIR1206 and MIR1207 host gene;plasmacytoma variant translocation 1;pvt-1 (murine) oncogene homolog, MYC activator;Pvt1 oncogene homolog (mouse);Pvt1 oncogene (non-protein coding);CXCR4/PVT1 fusion;HIST1H2BD/PVT1 fusion;MIR1204, MIR1205, MIR1206 and MIR1207 host;Oncogene PVT-1 (MYC activator);PVT1/CASC8 fusion;PVT1/CCDC26 fusion;PVT1/IFRD1 fusion;PVT1/IRF2BP2 fusion;PVT1/LINC00824 fusion;PVT1/MYC fusion;PVT1/NFIL3 fusion;PVT1/NSMCE2 fusion;PVT1/SPRY2 fusion;PVT1/UBB fusion;RP11-89K10/PVT1 fusion;PVT1;HSALNG0068494;HSALNG0068477;NONHSAG051258.2;HSALNG0068505;HSALNG0068503;HSALNG0068496;HSALNG0068488"
PVT1,Prostate Cancer,"qPCR, RNAi",up-regulated,29050519,"Also Known As: LINC00079; MIR1204HG; NCRNA00079; onco-lncRNA-100

Some (older) PVT1 splice variant 1, 2, 3, 4, 5 and 6 lncRNA ""lncRNA"" ncRNA (complete sequence-MG562504.1, MG562505.1, MG562506.1, MG562507.1, MG562508.1 and MG562509.1 respectively; note=""alternatively spliced) with PQS-10, 8, 9, 8, 8, 7 (2G) respectively were also there in result.

Some (older, not checked for PQS) PVT1 lncRNA ""lncRNA"" ncRNA (partial sequence-KY887488.1) was also there in result.",1, PVT1,14,,,,REVIEWED,"Pvt1 oncogene;NCRNA00079;LINC00079;onco-lncRNA-100;MIR1204HG;non-protein coding RNA 79;long intergenic non-protein coding RNA 79;MIR1204, MIR1205, MIR1206 and MIR1207 host gene;plasmacytoma variant translocation 1;pvt-1 (murine) oncogene homolog, MYC activator;Pvt1 oncogene homolog (mouse);Pvt1 oncogene (non-protein coding);CXCR4/PVT1 fusion;HIST1H2BD/PVT1 fusion;MIR1204, MIR1205, MIR1206 and MIR1207 host;Oncogene PVT-1 (MYC activator);PVT1/CASC8 fusion;PVT1/CCDC26 fusion;PVT1/IFRD1 fusion;PVT1/IRF2BP2 fusion;PVT1/LINC00824 fusion;PVT1/MYC fusion;PVT1/NFIL3 fusion;PVT1/NSMCE2 fusion;PVT1/SPRY2 fusion;PVT1/UBB fusion;RP11-89K10/PVT1 fusion;PVT1;HSALNG0068494;HSALNG0068477;NONHSAG051258.2;HSALNG0068505;HSALNG0068503;HSALNG0068496;HSALNG0068488"
PVT1,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,"Also Known As: LINC00079; MIR1204HG; NCRNA00079; onco-lncRNA-100

Some (older) PVT1 splice variant 1, 2, 3, 4, 5 and 6 lncRNA ""lncRNA"" ncRNA (complete sequence-MG562504.1, MG562505.1, MG562506.1, MG562507.1, MG562508.1 and MG562509.1 respectively; note=""alternatively spliced) with PQS-10, 8, 9, 8, 8, 7 (2G) respectively were also there in result.

Some (older, not checked for PQS) PVT1 lncRNA ""lncRNA"" ncRNA (partial sequence-KY887488.1) was also there in result.",1, PVT1,14,,,,REVIEWED,"Pvt1 oncogene;NCRNA00079;LINC00079;onco-lncRNA-100;MIR1204HG;non-protein coding RNA 79;long intergenic non-protein coding RNA 79;MIR1204, MIR1205, MIR1206 and MIR1207 host gene;plasmacytoma variant translocation 1;pvt-1 (murine) oncogene homolog, MYC activator;Pvt1 oncogene homolog (mouse);Pvt1 oncogene (non-protein coding);CXCR4/PVT1 fusion;HIST1H2BD/PVT1 fusion;MIR1204, MIR1205, MIR1206 and MIR1207 host;Oncogene PVT-1 (MYC activator);PVT1/CASC8 fusion;PVT1/CCDC26 fusion;PVT1/IFRD1 fusion;PVT1/IRF2BP2 fusion;PVT1/LINC00824 fusion;PVT1/MYC fusion;PVT1/NFIL3 fusion;PVT1/NSMCE2 fusion;PVT1/SPRY2 fusion;PVT1/UBB fusion;RP11-89K10/PVT1 fusion;PVT1;HSALNG0068494;HSALNG0068477;NONHSAG051258.2;HSALNG0068505;HSALNG0068503;HSALNG0068496;HSALNG0068488"
RBMS3-AS3,Prostate Cancer,"RT-qPCR, Western blot, RIP",down-regulated,31712637,,1,NR_109804.1,5,5,0,0,VALIDATED,RBMS3 antisense RNA 3;RBMS3 antisense RNA 3 (non-protein coding);HSALNG0024874;NONHSAG034659.2;RBMS3-AS3;HSALNG0024869
"RNCR3",Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,29887969,Also Known As: MIR124-1HG; Rncr3; neuroLNC; LINC00599,1 (MIR124-1HG),MIR124-1HG (NR_024281.1),25 (MIR124-1HG),23,2,0,VALIDATED (MIR124-1HG),Rncr3; neuroLNC; LINC00599; MIR124-1HG
"RNCR3",Prostate Cancer,"qPCR, Luciferase reporter assay, Western blot, etc.",up-regulated,29887969,Also Known As: MIR124-1HG; Rncr3; neuroLNC; LINC00599,1 (MIR124-1HG),MIR124-1HG (NR_024281.1),25 (MIR124-1HG),23,2,0,VALIDATED (MIR124-1HG),Rncr3; neuroLNC; LINC00599; MIR124-1HG
SAP30L-AS1,Prostate Cancer,"qPCR, Western blot, in vitro knockdown, etc.",up-regulated,30599235,Also Known As: GALNT10-AS1,1,NR_037897.1,27,25,2,0,VALIDATED,GALNT10-AS1
SAP30L-AS1,Prostate Cancer,"qPCR, Western blot",up-regulated,29614511,Also Known As: GALNT10-AS1,1,NR_037897.1,27,25,2,0,VALIDATED,GALNT10-AS1
SChLAP1,Prostate Cancer,"qPCR, Western blot",up-regulated,29614511,Also known asPCAT11; PCAT114; LINC00913,7,"NR_104319.1, NR_104320.1, NR_104321.1 , NR_104322.1, NR_104323.1 , NR_104324.1, NR_104325.1","5, 4, 2, 6, 6, 4, 5","4,3,1,5,5,3,4","1,1,1,1,1,1,1","0,0,0,0,0,0,0",VALIDATED,PCAT11; PCAT114; LINC00913
SChLAP1,Prostate Cancer,ISH etc.,up-regulated,26724257,Also known asPCAT11; PCAT114; LINC00913,7,"NR_104319.1, NR_104320.1, NR_104321.1 , NR_104322.1, NR_104323.1 , NR_104324.1, NR_104325.1","5, 4, 2, 6, 6, 4, 5","4,3,1,5,5,3,4","1,1,1,1,1,1,1","0,0,0,0,0,0,0",VALIDATED,PCAT11; PCAT114; LINC00913
SChLAP1,Prostate Cancer,"Microarray, ISH etc.",up-regulated,25499224,Also known asPCAT11; PCAT114; LINC00913,7,"NR_104319.1, NR_104320.1, NR_104321.1 , NR_104322.1, NR_104323.1 , NR_104324.1, NR_104325.1","5, 4, 2, 6, 6, 4, 5","4,3,1,5,5,3,4","1,1,1,1,1,1,1","0,0,0,0,0,0,0",VALIDATED,PCAT11; PCAT114; LINC00913
SChLAP1,Prostate Cancer,"Microarray, qPCR etc.",up-regulated,25456366,Also known asPCAT11; PCAT114; LINC00913,7,"NR_104319.1, NR_104320.1, NR_104321.1 , NR_104322.1, NR_104323.1 , NR_104324.1, NR_104325.1","5, 4, 2, 6, 6, 4, 5","4,3,1,5,5,3,4","1,1,1,1,1,1,1","0,0,0,0,0,0,0",VALIDATED,PCAT11; PCAT114; LINC00913
SChLAP1,Prostate Cancer,"RNA-seq, qPCR, in vitro knockdown etc.",up-regulated,24076601,Also known asPCAT11; PCAT114; LINC00913,7,"NR_104319.1, NR_104320.1, NR_104321.1 , NR_104322.1, NR_104323.1 , NR_104324.1, NR_104325.1","5, 4, 2, 6, 6, 4, 5","4,3,1,5,5,3,4","1,1,1,1,1,1,1","0,0,0,0,0,0,0",VALIDATED,PCAT11; PCAT114; LINC00913
SNHG1,Prostate Cancer,"qPCR, Western blot, Luciferase Reporter Assays",up-regulated,28400279,Also Known As: UHG; U22HG; lncRNA16; LINC00057; NCRNA00057,12,"NR_003098.2, NR_152575.1, NR_152576.1, NR_152577.1, NR_152578.1, NR_152579.1, NR_152580.1, NR_152581.1, NR_152582.1, NR_152583.1, NR_152584.1, NR_152585.1","5, 9, 9, 4, 4, 4, 4, 4, 5, 3, 7, 7","5,9,9,4,4,4,4,4,5,3,7,7","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,UHG; U22HG; lncRNA16; LINC00057; NCRNA00057
SNHG1,Prostate Cancer,"Microarray, qPCR etc.",down-regulated,27556357,Also Known As: UHG; U22HG; lncRNA16; LINC00057; NCRNA00057,12,"NR_003098.2, NR_152575.1, NR_152576.1, NR_152577.1, NR_152578.1, NR_152579.1, NR_152580.1, NR_152581.1, NR_152582.1, NR_152583.1, NR_152584.1, NR_152585.1","5, 9, 9, 4, 4, 4, 4, 4, 5, 3, 7, 7","5,9,9,4,4,4,4,4,5,3,7,7","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,UHG; U22HG; lncRNA16; LINC00057; NCRNA00057
SNHG1,Prostate Cancer,"Microarray, qPCR etc.",up-regulated,27556357,Also Known As: UHG; U22HG; lncRNA16; LINC00057; NCRNA00057,12,"NR_003098.2, NR_152575.1, NR_152576.1, NR_152577.1, NR_152578.1, NR_152579.1, NR_152580.1, NR_152581.1, NR_152582.1, NR_152583.1, NR_152584.1, NR_152585.1","5, 9, 9, 4, 4, 4, 4, 4, 5, 3, 7, 7","5,9,9,4,4,4,4,4,5,3,7,7","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,UHG; U22HG; lncRNA16; LINC00057; NCRNA00057
SNHG11,Prostate Cancer,RNA-seq,differential expression,30906477,Also Known As: C20orf198; LINC00101; NCRNA00101,1,NR_003239.1,12,10,2,0,VALIDATED,C20orf198; LINC00101; NCRNA00101
SNHG12,Prostate Cancer,"qPCR, Luciferase reporter assay, Western blot",down-regulated,30945357,Also Known As: C1orf79; PNAS-123; LINC00100; ASLNC04080; NCRNA00100,8,"NR_024127.2, NR_146381.1, NR_146382.1, NR_146383.1, NR_146384.1, NR_146385.1, NR_146386.1, NR_146387.1","8, 13, 9, 8, 13, 8, 8, 11","8,13,9,8,13,8,8,11","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0",REVIEWED,C1orf79; PNAS-123; LINC00100; ASLNC04080; NCRNA00100
SNHG12,Prostate Cancer,"RT-qPCR, Dual luciferase reporter assay and RNA binding protein immunoprecipitation (RIP), Western blot",up-regulated,31933941,Also Known As: C1orf79; PNAS-123; LINC00100; ASLNC04080; NCRNA00100,8,"NR_024127.2, NR_146381.1, NR_146382.1, NR_146383.1, NR_146384.1, NR_146385.1, NR_146386.1, NR_146387.1","8, 13, 9, 8, 13, 8, 8, 11","8,13,9,8,13,8,8,11","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0",REVIEWED,C1orf79; PNAS-123; LINC00100; ASLNC04080; NCRNA00100
SNHG12,Prostate Cancer,qPCR,up-regulated,31267540,Also Known As: C1orf79; PNAS-123; LINC00100; ASLNC04080; NCRNA00100,8,"NR_024127.2, NR_146381.1, NR_146382.1, NR_146383.1, NR_146384.1, NR_146385.1, NR_146386.1, NR_146387.1","8, 13, 9, 8, 13, 8, 8, 11","8,13,9,8,13,8,8,11","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0",REVIEWED,C1orf79; PNAS-123; LINC00100; ASLNC04080; NCRNA00100
SNHG14,Prostate Cancer,"RT-qPCR, RIP",up-regulated,32016964,Also Known As: 115HG; LNCAT; UBE3A-AS; UBE3AATS; UBE3A-AS1; UBE3A-ATS; NCRNA00214; U-UBE3A-ATS; IC-SNURF-SNRPN,1,NR_146177.1,176,175,1,0,REVIEWED,115HG; LNCAT; UBE3A-AS; UBE3AATS; UBE3A-AS1; UBE3A-ATS; NCRNA00214; U-UBE3A-ATS; IC-SNURF-SNRPN
SNHG15,Prostate Cancer,qPCR,up-regulated,30981837,Also Known As: C7orf40; MYO1GUT; Linc-Myo1g,5,"NR_003697.2, NR_152594.1, NR_152595.1, NR_152596.1, NR_152597.1","8, 7, 7, 8, 6","8,7,7,8,6","0,0,0,0,0","0,0,0,0,0",REVIEWED,C7orf40; MYO1GUT; Linc-Myo1g
SNHG16,Prostate Cancer,qPCR etc.,up-regulated,32210616,,Refer (Nbla12061),,,,,,VALIDATED,small nucleolar RNA host gene 16;ncRAN;Nbla12061;Nbla10727;non-coding RNA expressed in aggressive neuroblastoma;small nucleolar RNA host gene 16 (non-protein coding);HSALNG0118855;SNHG16;NONHSAG022825.2
SNHG17,Prostate Cancer,qPCR etc.,up-regulated,32351538,,14,"NR_015366.5, NR_027241.3, NR_152753.1, NR_152754.1, NR_152755.1, NR_152756.1, NR_152757.1, NR_152758.1, NR_152759.1, NR_152760.1, NR_152761.1, NR_152762.1, NR_152763.1, NR_152764.1","12, 12, 9, 14, 10, 10, 8, 12, 11, 11, 10, 8, 11, 10","12,12,9,14,10,10,8,12,11,11,10,8,11,10","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0",VALIDATED,small nucleolar RNA host gene 17;small nucleolar RNA host gene 17 (non-protein coding);NONHSAG031749.2;HSALNG0129982;SNHG17;HSALNG0129980;NONHSAG031748.2
SNHG20,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.",up-regulated,31497231,Also Known As: C17orf86; LINC00338; NCRNA00338; SCARNA16HG,1,NR_027058.1,18,17,1,0,VALIDATED,C17orf86; LINC00338; NCRNA00338; SCARNA16HG
SNHG3,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, RIP etc.",up-regulated,32248648,Also Known As: U17HG; RNU17C; RNU17D; U17HG-A; U17HG-AB; NCRNA00014,2,"NR_036473.1, NR_002909.2","18, 16","18,16","0,0","0,0",VALIDATED,U17HG; RNU17C; RNU17D; U17HG-A; U17HG-AB; NCRNA00014
SNHG4,Prostate Cancer,"qRT-PCR , Luciferase reporter assay , Western blot , in vitro knockdown etc.",up-regulated,31608997,"Also Known As: NCRNA00059, U19H",2,"NR_003141.3, NR_036536.1 ",08-10-2021 00:00,"10,8","0,0","0,0",VALIDATED,U19H; NCRNA00059
SNHG5,Prostate Cancer,"Microarray, qPCR etc.",down-regulated,27556357,Also Known As: U50HG; C6orf160; LINC00044; NCRNA00044,1,NR_003038.2,2,2,0,0,REVIEWED,U50HG; C6orf160; LINC00044; NCRNA00044
SNHG5,Prostate Cancer,"Microarray, qPCR etc.",up-regulated,27556357,Also Known As: U50HG; C6orf160; LINC00044; NCRNA00044,1,NR_003038.2,2,2,0,0,REVIEWED,U50HG; C6orf160; LINC00044; NCRNA00044
SNHG6,Prostate Cancer,RNA-seq,up-regulated,30911973,Also Known As: U87HG; HBII-276HG; NCRNA00058,4,"NR_002599.2, NR_152598.1, NR_152599.1, NR_152600.1","4, 5, 3, 5","4,5,3,5","0,0,0,0","0,0,0,0",VALIDATED,U87HG; HBII-276HG; NCRNA00058
SNHG7,Prostate Cancer,qRT-PCR,up-regulated,32049793,Also Known As: NCRNA00061,3,"NR_003672.2, NR_024542.1, NR_024543.1","28, 13, 12","23,10,9","5,3,3","0,0,0",VALIDATED,NCRNA00061
SNHG7,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,31324390,Also Known As: NCRNA00061,3,"NR_003672.2, NR_024542.1, NR_024543.1","28, 13, 12","23,10,9","5,3,3","0,0,0",VALIDATED,NCRNA00061
SNHG7,Prostate Cancer,"qPCR, Western blot etc.",up-regulated,29571017,Also Known As: NCRNA00061,3,"NR_003672.2, NR_024542.1, NR_024543.1","28, 13, 12","23,10,9","5,3,3","0,0,0",VALIDATED,NCRNA00061
SOCS2-AS1,Prostate Cancer,"RNA-seq, qPCR, RIP, ChIP etc.",up-regulated,27342777,,1,NR_038263.1,5,5,0,0,VALIDATED,SOCS2 antisense RNA 1;SOCS2 antisense RNA 1 (non-protein coding);NONHSAG011928.2;HSALNG0093119;SOCS2-AS1
SPRY4-IT1,Prostate Cancer,"Microarray, qPCR, RNA-FISH etc.",up-regulated,25307116,Also Known As: SPRIGHTLY,1,NR_131221.1,5,5,0,0,REVIEWED,SPRIGHTLY
TINCR,Prostate Cancer,"qPCR, Western blot",down-regulated,30154672,Also Known As: PLAC2; LINC00036; NCRNA00036; onco-lncRNA-16,1,NR_027064.3,40,30,10,0,REVIEWED,TINCR ubiquitin domain containing;FLJ90734;NCRNA00036;LINC00036;onco-lncRNA-16;non-protein coding RNA 36;long intergenic non-protein coding RNA 36;terminal differentiation-induced ncRNA;placenta-specific 2;placenta-specific 2 (non-protein coding);tissue differentiation-inducing non-protein coding RNA;PLAC2;NONHSAG024566.2;lnc-TINCR-1;HSALNG0123467;HSALNG0123468;Ubiquitin domain-containing protein TINCR;Placenta-specific protein 2;Terminal differentiation-induced cornification regulator
TMPO-AS1,Prostate Cancer,"qPCR, ChIP",up-regulated,30105831,,1,NR_027157.1,18,17,1,0,VALIDATED,TMPO antisense RNA 1;TMPO antisense RNA 1 (non-protein coding);NONHSAG012025.2;HSALNG0093383;TMPO-AS1
TRPM2-AS,Prostate Cancer,"Microarray, qPCR etc.",differential expression,26484139,Also Known As: TRPM2-AS1,1,NR_109964.1,10,9,1,0,VALIDATED,TRPM2-AS1
TRPM2-AS,Prostate Cancer,"Microarray, qPCR, RNAi etc.",up-regulated,24931166,Also Known As: TRPM2-AS1,1,NR_109964.1,10,9,1,0,VALIDATED,TRPM2-AS1
TTN-AS1,Prostate Cancer,"RT-qPCR, Dual Luciferase Reporter Gene Assay",up-regulated,31858535,,2,"NR_038272.1, NR_038271.1","32,13","32,13","0,0","0,0",VALIDATED,TTN antisense RNA 1;TTN antisense RNA 1 (non-protein coding);HSALNG0020713;NONHSAG029956.2
TTTY15,Prostate Cancer,"qPCR, Luciferase reporter assay, in vitro knockdown, etc.",up-regulated,30527798,,2,"NR_038272.1, NR_038271.1","32, 13","32,13","0,0","0,0",VALIDATED,"testis-specific transcript, Y-linked 15;DKFZP434I143;NCRNA00138;non-protein coding RNA 138;testis-specific transcript, Y-linked 15 (non-protein coding);USP9Y;ubiquitin specific peptidase 9 Y-linked;AZFA;DFFRY;NONHSAG055784.2;TTTY15;HSALNG0141211"
"TUC338 ",Prostate Cancer,qRT-PCR etc.,up-regulated,31085276,"Also Known As: TUC.338, TUC338, uc.338 (PCBP2-OT1)",1 (PCBP2-OT1),PCBP2-OT1 (NR_109828.1),5 (PCBP2-OT1),5,0,0,VALIDATED (PCBP2-OT1),TUC338; uc.338; TUC.338; PCBP2-OT1
TUG1,Prostate Cancer,"qRT-PCR, Western blot",up-regulated,32057513,Also Known As: TI-227H; LINC00080; NCRNA00080,8,"NR_110492.1, NR_110493.1, NR_002323.2, NR_152867.1, NR_152868.1, NR_152869.1, NR_152870.1, NR_152871.1","35, 34, 34, 12, 12, 34, 34, 35","31,30,30,12,12,30,30,31","4,4,4,0,0,4,4,4","0,0,0,0,0,0,0,0",REVIEWED,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,"qRT-PCR, Western blot",up-regulated,32016963,Also Known As: TI-227H; LINC00080; NCRNA00080,8,"NR_110492.1, NR_110493.1, NR_002323.2, NR_152867.1, NR_152868.1, NR_152869.1, NR_152870.1, NR_152871.1","35, 34, 34, 12, 12, 34, 34, 35","31,30,30,12,12,30,30,31","4,4,4,0,0,4,4,4","0,0,0,0,0,0,0,0",REVIEWED,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi",down-regulated,29967294,Also Known As: TI-227H; LINC00080; NCRNA00080,8,"NR_110492.1, NR_110493.1, NR_002323.2, NR_152867.1, NR_152868.1, NR_152869.1, NR_152870.1, NR_152871.1","35, 34, 34, 12, 12, 34, 34, 35","31,30,30,12,12,30,30,31","4,4,4,0,0,4,4,4","0,0,0,0,0,0,0,0",REVIEWED,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,"qPCR, Western blot etc.",up-regulated,32256083,Also Known As: TI-227H; LINC00080; NCRNA00080,8,"NR_110492.1, NR_110493.1, NR_002323.2, NR_152867.1, NR_152868.1, NR_152869.1, NR_152870.1, NR_152871.1","35, 34, 34, 12, 12, 34, 34, 35","31,30,30,12,12,30,30,31","4,4,4,0,0,4,4,4","0,0,0,0,0,0,0,0",REVIEWED,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,"qPCR, Western blot",up-regulated,30964164,Also Known As: TI-227H; LINC00080; NCRNA00080,8,"NR_110492.1, NR_110493.1, NR_002323.2, NR_152867.1, NR_152868.1, NR_152869.1, NR_152870.1, NR_152871.1","35, 34, 34, 12, 12, 34, 34, 35","31,30,30,12,12,30,30,31","4,4,4,0,0,4,4,4","0,0,0,0,0,0,0,0",REVIEWED,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,qPCR,up-regulated,31210308,Also Known As: TI-227H; LINC00080; NCRNA00080,8,"NR_110492.1, NR_110493.1, NR_002323.2, NR_152867.1, NR_152868.1, NR_152869.1, NR_152870.1, NR_152871.1","35, 34, 34, 12, 12, 34, 34, 35","31,30,30,12,12,30,30,31","4,4,4,0,0,4,4,4","0,0,0,0,0,0,0,0",REVIEWED,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,qPCR,up-regulated,31210296,Also Known As: TI-227H; LINC00080; NCRNA00080,8,"NR_110492.1, NR_110493.1, NR_002323.2, NR_152867.1, NR_152868.1, NR_152869.1, NR_152870.1, NR_152871.1","35, 34, 34, 12, 12, 34, 34, 35","31,30,30,12,12,30,30,31","4,4,4,0,0,4,4,4","0,0,0,0,0,0,0,0",REVIEWED,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,"qPCR, Western blot, RIP, Dual luciferase reporter assay etc.",up-regulated,26975529,Also Known As: TI-227H; LINC00080; NCRNA00080,8,"NR_110492.1, NR_110493.1, NR_002323.2, NR_152867.1, NR_152868.1, NR_152869.1, NR_152870.1, NR_152871.1","35, 34, 34, 12, 12, 34, 34, 35","31,30,30,12,12,30,30,31","4,4,4,0,0,4,4,4","0,0,0,0,0,0,0,0",REVIEWED,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,"Microarray, qPCR etc.",up-regulated,27556357,Also Known As: TI-227H; LINC00080; NCRNA00080,8,"NR_110492.1, NR_110493.1, NR_002323.2, NR_152867.1, NR_152868.1, NR_152869.1, NR_152870.1, NR_152871.1","35, 34, 34, 12, 12, 34, 34, 35","31,30,30,12,12,30,30,31","4,4,4,0,0,4,4,4","0,0,0,0,0,0,0,0",REVIEWED,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
TUG1,Prostate Cancer,"qPCR, Flow cytometry assay, Western blot, Luciferase reporter assay, etc.",up-regulated,29967294,Also Known As: TI-227H; LINC00080; NCRNA00080,8,"NR_110492.1, NR_110493.1, NR_002323.2, NR_152867.1, NR_152868.1, NR_152869.1, NR_152870.1, NR_152871.1","35, 34, 34, 12, 12, 34, 34, 35","31,30,30,12,12,30,30,31","4,4,4,0,0,4,4,4","0,0,0,0,0,0,0,0",REVIEWED,taurine up-regulated 1;FLJ20618;NCRNA00080;LINC00080;non-protein coding RNA 80;long intergenic non-protein coding RNA 80;taurine upregulated 1 (non-protein coding);taurine up-regulated 1 (non-protein coding);TI-227H;taurine upregulated gene 1;TUG1;HSALNG0134930;NONHSAG033691.2;Taurine up-regulated 1
UCA1,Prostate Cancer,"qPCR, Luciferase reporter assay, RIP, Western blot",up-regulated,30940776,"Also Known As: CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36

Some (older-not checked for PQS) UCA1 clones ""other"" ncRNA (GU799565.1, GU799564.1, GU799563.1, GU799562.1 and GU799561.1) were also there in result.

Some (older, not checked for PQS) urothelial cancer associated 1a non-coding RNA (UCA1) ""other"" ncRNA (complete sequence, alternatively spliced-GU357550.1; note=""UCA1a; alternative splice product"") was also there in result.",1,NR_015379.3,10,10,0,0,REVIEWED,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
